DYE,Molecule spectrum absorption maxima teorica,1000cm-1,E (eV),fuerza del oscilador (f) teorica,Dureza quimica,Electrofilicidad (w),Poder electrodonador (w-),Poder electroaceptor (w+),HOMO (eV),LUMO (eV),Energia exit,DeltaGinj,Voc teorico,DeltaGreg,DeltaGrec,Gap teorico,Energia de enlace del exit¢n ,Tiempo de vida del estado excitado (nS),Eficiencia de recoleccion de luz teorico,Eficiencia experimental
2051,490.9,20.4,2.53,0.7598,10.23652151,0.51598518,0.046653974,3.296851937,-5.528812252,-2.912708256,-2.998812252,1.001187748,1.087291744,0.728812252,1.528812252,2.616103996,0.086103996,4.74069493,0.82613987,3.1
2055,492.2,20.3,2.52,0.8706,10.134125,0.51808346,0.049314789,3.289784675,-5.516567122,-2.85855757,-2.996567122,1.003432878,1.14144243,0.716567122,1.516567122,2.658009552,0.138009552,4.178216061,0.865289949,4.02
2073,514.9,19.4,2.41,0.998,8.761609065,0.51494312,0.075533028,3.079440585,-5.098872132,-2.481951794,-2.688872132,1.251127868,1.458048206,0.258872132,1.158872132,2.616920338,0.206920338,3.990870464,0.899538421,6.67
2380,483.4,20.7,2.56,1.1203,9.327823931,0.462959558,0.039485564,2.978330658,-5.169621772,-2.45582885,-2.609621772,1.390378228,1.54417115,0.369621772,1.169621772,2.713792922,0.153792922,3.122673703,0.924194625,4.8
2383,482.4,20.7,2.57,1.3373,9.419227033,0.464279847,0.038552946,2.995969822,-5.19873797,-2.486849846,-2.62873797,1.37126203,1.513150154,0.39873797,1.19873797,2.711888124,0.141888124,2.615966013,0.954006125,5.05
2384,481.2,20.8,2.58,1.4259,9.532018297,0.46414159,0.03672028,3.011348368,-5.233568562,-2.535830366,-2.653568562,1.346431438,1.464169634,0.433568562,1.233568562,2.697738196,0.117738196,2.429885973,0.962494065,5.01
2385,472.7,21.2,2.62,1.5906,9.6184145,0.46750551,0.0367184,3.035605454,-5.279283714,-2.515149702,-2.659283714,1.340716286,1.484850298,0.479283714,1.279283714,2.764134012,0.144134012,2.096857575,0.974331529,4.75
2386,473.2,21.1,2.62,1.4457,9.617189987,0.451761405,0.030711968,2.978482402,-5.239282956,-2.529843858,-2.619282956,1.380717044,1.470156142,0.439282956,1.239282956,2.709439098,0.089439098,2.328941293,0.964165611,4.51
2466,431.7,23.2,2.87,0.9785,8.602367936,0.594059274,0.127280315,3.324252774,-5.391394682,-2.260995226,-2.521394682,1.478605318,1.739004774,0.551394682,1.391394682,3.130399456,0.260399456,2.846196191,0.894924855,3.83
2467,440.7,22.7,2.81,1.7447,9.56932513,0.519660793,0.06057165,3.214237162,-5.46404912,-2.455556736,-2.65404912,1.34595088,1.544443264,0.62404912,1.46404912,3.008492384,0.198492384,1.667359151,0.98199886,4.02
2468,446.4,22.4,2.78,1.3747,9.672592403,0.505960863,0.052177255,3.180740248,-5.49534223,-2.519231412,-2.71534223,1.28465777,1.480768588,0.65534223,1.49534223,2.976110818,0.196110818,2.173189828,0.95780121,5.2
2470,441.6,22.6,2.81,1.6908,9.706144063,0.522339344,0.059159916,3.243465468,-5.52935648,-2.490115214,-2.71935648,1.28064352,1.509884786,0.68935648,1.52935648,3.039241266,0.229241266,1.735771348,0.979620196,4.16
2476,465.5,21.5,2.66,1.3064,10.40229338,0.51756125,0.044561115,3.325970557,-5.736435234,-2.758147504,-3.076435234,0.863564766,1.181852496,0.896435234,1.796435234,2.97828773,0.31828773,2.482267272,0.950614438,6.1
2477,460.5,21.7,2.69,1.1884,10.99242707,0.515751629,0.034878833,3.402181067,-5.95793603,-2.87352384,-3.26793603,0.67206397,1.06647616,1.11793603,2.01793603,3.08441219,0.39441219,2.678671901,0.935196271,6.3
2478,479.5,20.9,2.59,0.9851,8.512951267,0.566493792,0.112221542,3.217872534,-5.245269464,-2.32521413,-2.655269464,1.284730536,1.61478587,0.405269464,1.305269464,2.920055334,0.330055334,3.483603687,0.896509616,7.38
2480,444.3,22.5,2.79,1.433,10.99332504,0.514688972,0.034476341,3.398445179,-5.954670662,-2.878421892,-3.164670662,0.775329338,1.061578108,1.114670662,2.014670662,3.07624877,0.28624877,2.066285872,0.96310224,6.75
2481,476.6,21,2.6,1.025,8.69575747,0.562690117,0.104733242,3.232996909,-5.296154782,-2.386167666,-2.696154782,1.243845218,1.553832334,0.456154782,1.356154782,2.909987116,0.309987116,3.316188264,0.905593912,6.65
2482,457.9,21.8,2.71,1.4919,10.10879119,0.518575285,0.049973603,3.287926435,-5.621603126,-2.66127492,-2.911603126,1.028396874,1.27872508,0.781603126,1.681603126,2.960328206,0.250328206,2.114213938,0.967781894,5.49
2483,442.3,22.6,2.8,1.2094,11.08728602,0.517855433,0.034321044,3.423011441,-6.000657928,-2.9116198,-3.200657928,0.739342072,1.0283802,1.160657928,2.060657928,3.089038128,0.289038128,2.426692737,0.938255255,5.34
2484,481.5,20.8,2.58,2.2277,10.34324463,0.486899514,0.033412067,3.207091566,-5.55248617,-2.786991588,-2.97248617,0.96751383,1.153008412,0.71248617,1.61248617,2.765494582,0.185494582,1.555314633,0.994080296,5.7
2485,487.1,20.5,2.55,2.6008,10.08389275,0.464434803,0.028866069,3.089359739,-5.391394682,-2.68304404,-2.841394682,1.098605318,1.25695596,0.551394682,1.451394682,2.708350642,0.158350642,1.371472028,0.997492736,1.3
2523,515.1,19.4,2.41,0.8852,9.609407526,0.465403783,0.036026917,3.026764156,-5.24499735,-2.539367848,-2.83499735,1.10500265,1.400632152,0.40499735,1.30499735,2.705629502,0.295629502,4.499422417,0.869743321,0.69
2524,424.1,23.6,2.92,1.2334,9.542113727,0.602254013,0.105783015,3.495997251,-5.747864022,-2.448209658,-2.827864022,1.112135978,1.491790342,0.907864022,1.807864022,3.299654364,0.379654364,2.182095144,0.941574828,1.64
2525,424.6,23.6,2.92,1.231,9.538549034,0.601159641,0.105228658,3.491728537,-5.739700602,-2.448753886,-2.819700602,1.120299398,1.491246114,0.899700602,1.799700602,3.290946716,0.370946716,2.186349432,0.941251065,1.88
2526,439.1,22.8,2.82,1.296,8.936387904,0.572307574,0.104020497,3.302258286,-5.437381948,-2.304533466,-2.617381948,1.322618052,1.635466534,0.597381948,1.497381948,3.132848482,0.312848482,2.224984231,0.949417534,1.14
