absorcion max teorico,absorcion en cm-1 teorico,energia del estado excitado teorico,Fueza del oscilador teorico,Dureza quimica teorico,Electrofilicidad teorico,Poder electrodonador teorico,Poder electroaceptor teorico,HOMO teorico,LUMO teorico,energia de exitacion teorico,inyeccion teorico,Voc teorico,regeneracion teorico,recombinacion teorico,Gap teorico,Energia de enlace del exciton teorico,Tiempo de vida del estado excitado teorico,Eficiencia de recoleccion de luz teorico,Eficiencia experimental
424.8,23.5,2.92,1.228,5.392117945,1.542036722,5.460056523,1.382105106,-5.740789058,-2.44766543,-2.820789058,1.119210942,1.49233457,0.900789058,1.800789058,3.293123628,0.373123628,2.21038305,0.940843837,1.28
453.3,22.1,2.74,1.2542,4.264605856,1.825313282,5.890010307,1.944318552,-5.413163802,-2.641954826,-2.673163802,1.266836198,1.298045174,0.573163802,1.473163802,2.771208976,0.031208976,2.447091954,0.944307079,3.79
309.6,32.3,4,0.7209,4.806212907,1.407382044,4.954198036,1.276106753,-5.11438263,-2.490115214,-1.11438263,2.82561737,1.449884786,0.27438263,1.17438263,2.624267416,-1.375732584,1.993065459,0.809848393,4.78
308.2,32.5,4.02,0.6992,4.869736839,1.431764276,5.0350126,1.300761608,-5.196833172,-2.511067992,-1.176833172,2.763166828,1.428932008,0.356833172,1.256833172,2.68576518,-1.33423482,2.029707663,0.800105889,4.52
308.2,32.5,4.02,1.0763,4.737141388,1.435650711,5.011401012,1.323344505,-5.160914124,-2.484945048,-1.140914124,2.799085876,1.455054952,0.320914124,1.220914124,2.675969076,-1.344030924,1.318565082,0.916111969,4.88
407.5,24.5,3.04,1.5933,4.572583695,1.460661655,5.034539361,1.37968022,-5.006625486,-2.464808612,-1.966625486,1.973374514,1.475191388,0.166625486,1.066625486,2.541816874,-0.498183126,1.567371364,0.974490614,4.5
446.6,22.4,2.78,1.0359,5.299422574,1.491095995,5.301111584,1.325700216,-5.605004172,-2.511340106,-2.825004172,1.114995828,1.428659894,0.765004172,1.665004172,3.093664066,0.313664066,2.883950242,0.907933846,3.4
479.2,20.9,2.59,0.8491,4.603324961,1.550596221,5.278066508,1.499733995,-5.275202004,-2.55515046,-2.685202004,1.254797996,1.38484954,0.435202004,1.335202004,2.720051544,0.130051544,4.041571066,0.858453218,4.88
487.6,20.5,2.54,1.0535,4.394067914,1.643599979,5.462104174,1.661554232,-5.213160012,-2.632430836,-2.673160012,1.266839988,1.307569164,0.373160012,1.273160012,2.580729176,0.040729176,3.385784955,0.911590283,4.01
405.1,24.7,3.06,1.3737,5.357151021,1.199132116,4.52528201,0.940890334,-5.265133786,-1.979085122,-2.205133786,1.734866214,1.960914878,0.425133786,1.325133786,3.286048664,0.226048664,1.788610715,0.957703932,2.43
470.4,21.3,2.64,1.2242,4.999610877,1.585744485,5.474957539,1.492971759,-5.486634582,-2.580184948,-2.846634582,1.093365418,1.359815052,0.646634582,1.546634582,2.906449634,0.266449634,2.698920244,0.94032396,1.49
442.4,22.6,2.8,1.3277,5.026153968,1.392400828,4.969553951,1.228318608,-5.294522098,-2.324669902,-2.494522098,1.445477902,1.615330098,0.454522098,1.354522098,2.969852196,0.169852196,2.210470886,0.952978119,0.44
512.4,19.5,2.42,1.046,4.145290659,2.06890042,6.467653535,2.326109479,-5.362278484,-2.926041842,-2.942278484,0.997721516,1.013958158,0.522278484,1.422278484,2.436236642,0.016236642,3.768779471,0.910050242,3.52
515.1,19.4,2.41,1.1481,4.120296985,2.11804668,6.58250892,2.404714921,-5.389761998,-2.977199274,-2.979761998,0.960238002,0.962800726,0.549761998,1.449761998,2.412562724,0.002562724,3.469113077,0.928895023,3.92
490.3,20.4,2.53,0.8706,4.270383109,1.989299452,6.30645282,2.184542879,-5.369625562,-2.847128782,-2.839625562,1.100374438,1.092871218,0.529625562,1.429625562,2.52249678,-0.00750322,4.137353558,0.865289949,3.33
550.7,18.2,2.25,0.8822,3.984516984,1.984082388,6.205363325,2.229030851,-5.112205718,-2.845496098,-2.862205718,1.077794282,1.094503902,0.272205718,1.172205718,2.26670962,0.01670962,5.129698068,0.868840425,4.41
547.5,18.3,2.26,0.9064,4.061099939,1.920121676,6.068626104,2.119498093,-5.090980826,-2.769304178,-2.830980826,1.109019174,1.170695822,0.250980826,1.150980826,2.321676648,0.061676648,4.93832373,0.875949077,5.35
550.3,18.2,2.25,0.8145,4.09276476,1.905956986,6.04263374,2.092789798,-5.089076028,-2.74699083,-2.839076028,1.100923972,1.19300917,0.249076028,1.149076028,2.342085198,0.092085198,5.556070762,0.846714879,5.41
552.3,18.1,2.24,0.8028,4.079735396,1.90459904,6.035254868,2.093108215,-5.089620256,-2.755426364,-2.849620256,1.090379744,1.184573636,0.249620256,1.149620256,2.334193892,0.094193892,5.699504742,0.842529212,5.98
555,18,2.23,0.8208,4.057485177,1.928342437,6.088183263,2.132372131,-5.084994318,-2.778828168,-2.854994318,1.085005682,1.161171832,0.244994318,1.144994318,2.30616615,0.07616615,5.636626718,0.848922427,5.48
509.3,19.6,2.43,1.0874,4.16602602,2.054276883,6.43752544,2.300335344,-5.371802474,-2.91570151,-2.941802474,0.998197526,1.02429849,0.531802474,1.431802474,2.456100964,0.026100964,3.588394327,0.91822887,3.52
480.7,20.8,2.58,1.3314,4.342419311,1.453320787,4.954405392,1.40168017,-4.931522022,-2.354602442,-2.351522022,1.588477978,1.585397558,0.091522022,0.991522022,2.57691958,-0.00308042,2.60235422,0.953377023,5.75
428.9,23.3,2.89,1.2906,3.979243686,1.891318747,5.971187921,2.091492526,-5.132886382,-2.629709696,-2.242886382,1.697113618,1.310290304,0.292886382,1.192886382,2.503176686,-0.386823314,2.13943024,0.948784667,2.41
